fc_date,fc_name,fc_var,fc_value
10/27/2021,jnahom,MAX,14.86445946
10/28/2021,jnahom,MAX,14.98445946
10/29/2021,jnahom,MAX,15.18445946
10/30/2021,jnahom,MAX,15.02445946
10/31/2021,jnahom,MAX,14.72445946
11/1/2021,jnahom,MAX,15.03945946
11/2/2021,jnahom,MAX,14.73945946
10/27/2021,jnahom,MIN,3.531081081
10/28/2021,jnahom,MIN,4.466081081
10/29/2021,jnahom,MIN,3.671081081
10/30/2021,jnahom,MIN,4.131081081
10/31/2021,jnahom,MIN,3.111081081
11/1/2021,jnahom,MIN,3.296081081
11/2/2021,jnahom,MIN,2.886081081
10/27/2021,jnahom,P_PRCP,0.29
10/28/2021,jnahom,P_PRCP,0.4
10/29/2021,jnahom,P_PRCP,0.44
10/30/2021,jnahom,P_PRCP,0.54
10/31/2021,jnahom,P_PRCP,0.56
11/1/2021,jnahom,P_PRCP,0.36
11/2/2021,jnahom,P_PRCP,0.55
