fc_date,fc_name,fc_var,fc_value
11/17/2021,jnahom,MAX,9.469666667
11/18/2021,jnahom,MAX,9.134666667
11/19/2021,jnahom,MAX,6.434666667
11/20/2021,jnahom,MAX,7.219666667
11/21/2021,jnahom,MAX,8.864666667
11/22/2021,jnahom,MAX,7.974666667
11/23/2021,jnahom,MAX,9.269666667
11/17/2021,jnahom,MIN,-1.394
11/18/2021,jnahom,MIN,-4.589
11/19/2021,jnahom,MIN,-1.644
11/20/2021,jnahom,MIN,-0.889
11/21/2021,jnahom,MIN,-4.909
11/22/2021,jnahom,MIN,-4.019
11/23/2021,jnahom,MIN,-4.704
11/17/2021,jnahom,P_PRCP,0.55
11/18/2021,jnahom,P_PRCP,0.63
11/19/2021,jnahom,P_PRCP,0.55
11/20/2021,jnahom,P_PRCP,0.39
11/21/2021,jnahom,P_PRCP,0.44
11/22/2021,jnahom,P_PRCP,0.386190476
11/23/2021,jnahom,P_PRCP,0.4
