fc_date,fc_name,fc_var,fc_value
9/29/2021,jnahom,MAX,23.98387097
9/30/2021,jnahom,MAX,23.98387097
10/1/2021,jnahom,MAX,23.98387097
10/2/2021,jnahom,MAX,23.98387097
10/3/2021,jnahom,MAX,23.98387097
10/4/2021,jnahom,MAX,23.98387097
10/5/2021,jnahom,MAX,23.98387097
9/29/2021,jnahom,MIN,9.648387097
9/30/2021,jnahom,MIN,9.648387097
10/1/2021,jnahom,MIN,9.648387097
10/2/2021,jnahom,MIN,9.648387097
10/3/2021,jnahom,MIN,9.648387097
10/4/2021,jnahom,MIN,9.648387097
10/5/2021,jnahom,MIN,9.648387097
9/29/2021,jnahom,P_PRCP,0.258064516
9/30/2021,jnahom,P_PRCP,0.258064516
10/1/2021,jnahom,P_PRCP,0.258064516
10/2/2021,jnahom,P_PRCP,0.258064516
10/3/2021,jnahom,P_PRCP,0.258064516
10/4/2021,jnahom,P_PRCP,0.258064516
10/5/2021,jnahom,P_PRCP,0.258064516
