fc_date,fc_name,fc_var,fc_value
2021-09-22,jnahom,MAX,24.757142857142856
2021-09-23,jnahom,MAX,24.757142857142856
2021-09-24,jnahom,MAX,24.757142857142856
2021-09-25,jnahom,MAX,24.757142857142856
2021-09-26,jnahom,MAX,24.757142857142856
2021-09-27,jnahom,MAX,24.757142857142856
2021-09-28,jnahom,MAX,24.757142857142856
2021-09-22,jnahom,MIN,10.184126984126982
2021-09-23,jnahom,MIN,10.184126984126982
2021-09-24,jnahom,MIN,10.184126984126982
2021-09-25,jnahom,MIN,10.184126984126982
2021-09-26,jnahom,MIN,10.184126984126982
2021-09-27,jnahom,MIN,10.184126984126982
2021-09-28,jnahom,MIN,10.184126984126982
2021-09-22,jnahom,P_PRCP,0.25396825396825395
2021-09-23,jnahom,P_PRCP,0.25396825396825395
2021-09-24,jnahom,P_PRCP,0.25396825396825395
2021-09-25,jnahom,P_PRCP,0.25396825396825395
2021-09-26,jnahom,P_PRCP,0.25396825396825395
2021-09-27,jnahom,P_PRCP,0.25396825396825395
2021-09-28,jnahom,P_PRCP,0.25396825396825395
