fc_date,fc_name,fc_var,fc_value
9/23/2021,jnahom,MAX,24.64193548
9/24/2021,jnahom,MAX,24.64193548
9/25/2021,jnahom,MAX,24.64193548
9/26/2021,jnahom,MAX,24.64193548
9/27/2021,jnahom,MAX,24.64193548
9/28/2021,jnahom,MAX,24.64193548
9/29/2021,jnahom,MAX,24.64193548
9/23/2021,jnahom,MIN,10.0516129
9/24/2021,jnahom,MIN,10.0516129
9/25/2021,jnahom,MIN,10.0516129
9/26/2021,jnahom,MIN,10.0516129
9/27/2021,jnahom,MIN,10.0516129
9/28/2021,jnahom,MIN,10.0516129
9/29/2021,jnahom,MIN,10.0516129
9/23/2021,jnahom,P_PRCP,0.209677419
9/24/2021,jnahom,P_PRCP,0.209677419
9/25/2021,jnahom,P_PRCP,0.209677419
9/26/2021,jnahom,P_PRCP,0.209677419
9/27/2021,jnahom,P_PRCP,0.209677419
9/28/2021,jnahom,P_PRCP,0.209677419
9/29/2021,jnahom,P_PRCP,0.209677419
