fc_date,fc_name,fc_var,fc_value
10/13/2021,jnahom,MAX,19.912
10/14/2021,jnahom,MAX,20.357
10/15/2021,jnahom,MAX,19.907
10/16/2021,jnahom,MAX,19.357
10/17/2021,jnahom,MAX,18.822
10/18/2021,jnahom,MAX,19.637
10/19/2021,jnahom,MAX,19.117
10/13/2021,jnahom,MIN,7.295333333
10/14/2021,jnahom,MIN,7.160333333
10/15/2021,jnahom,MIN,6.635333333
10/16/2021,jnahom,MIN,5.915333333
10/17/2021,jnahom,MIN,6.405333333
10/18/2021,jnahom,MIN,6.355333333
10/19/2021,jnahom,MIN,6.655333333
10/13/2021,jnahom,P_PRCP,0.54
10/14/2021,jnahom,P_PRCP,0.33
10/15/2021,jnahom,P_PRCP,0.21
10/16/2021,jnahom,P_PRCP,0.38
10/17/2021,jnahom,P_PRCP,0.33
10/18/2021,jnahom,P_PRCP,0.29
10/19/2021,jnahom,P_PRCP,0.33
