fc_date,fc_name,fc_var,fc_value
11/10/2021,jnahom,MAX,12.72933333
11/11/2021,jnahom,MAX,17.00433333
11/12/2021,jnahom,MAX,13.06433333
11/13/2021,jnahom,MAX,12.28433333
11/14/2021,jnahom,MAX,12.42433333
11/15/2021,jnahom,MAX,14.23433333
11/16/2021,jnahom,MAX,13.70433333
11/10/2021,jnahom,MIN,2.338666667
11/11/2021,jnahom,MIN,1.563666667
11/12/2021,jnahom,MIN,2.248666667
11/13/2021,jnahom,MIN,-0.436333333
11/14/2021,jnahom,MIN,-1.361333333
11/15/2021,jnahom,MIN,3.688666667
11/16/2021,jnahom,MIN,0.643666667
11/10/2021,jnahom,P_PRCP,0.32
11/11/2021,jnahom,P_PRCP,0.4
11/12/2021,jnahom,P_PRCP,0.26
11/13/2021,jnahom,P_PRCP,0.17
11/14/2021,jnahom,P_PRCP,0.17
11/15/2021,jnahom,P_PRCP,0.27
11/16/2021,jnahom,P_PRCP,0.491666667
