fc_date,fc_name,fc_var,fc_value
10/19/2021,jnahom,MAX,18.23188312
10/20/2021,jnahom,MAX,18.39188312
10/21/2021,jnahom,MAX,17.86688312
10/22/2021,jnahom,MAX,17.03188312
10/23/2021,jnahom,MAX,17.64688312
10/24/2021,jnahom,MAX,17.13688312
10/25/2021,jnahom,MAX,15.77688312
10/19/2021,jnahom,MIN,6.126753247
10/20/2021,jnahom,MIN,5.996753247
10/21/2021,jnahom,MIN,5.411753247
10/22/2021,jnahom,MIN,5.036753247
10/23/2021,jnahom,MIN,6.521753247
10/24/2021,jnahom,MIN,5.191753247
10/25/2021,jnahom,MIN,4.701753247
10/19/2021,jnahom,P_PRCP,0.46
10/20/2021,jnahom,P_PRCP,0.44
10/21/2021,jnahom,P_PRCP,0.25
10/22/2021,jnahom,P_PRCP,0.38
10/23/2021,jnahom,P_PRCP,0.47
10/24/2021,jnahom,P_PRCP,0.33
10/25/2021,jnahom,P_PRCP,0.4
