fc_date,fc_name,fc_var,fc_value
2021-11-03,jnahom,MAX,13.689666666666668
2021-11-04,jnahom,MAX,13.944666666666667
2021-11-05,jnahom,MAX,14.264666666666667
2021-11-06,jnahom,MAX,13.604666666666667
2021-11-07,jnahom,MAX,13.429666666666666
2021-11-08,jnahom,MAX,12.98466666666667
2021-11-09,jnahom,MAX,13.354666666666667
2021-11-03,jnahom,MIN,1.9393333333333331
2021-11-04,jnahom,MIN,2.074333333333333
2021-11-05,jnahom,MIN,2.469333333333333
2021-11-06,jnahom,MIN,2.444333333333333
2021-11-07,jnahom,MIN,1.3043333333333331
2021-11-08,jnahom,MIN,0.4293333333333331
2021-11-09,jnahom,MIN,1.499333333333333
2021-11-03,jnahom,P_PRCP,0.54
2021-11-04,jnahom,P_PRCP,0.29
2021-11-05,jnahom,P_PRCP,0.39
2021-11-06,jnahom,P_PRCP,0.39
2021-11-07,jnahom,P_PRCP,0.5226666666666666
2021-11-08,jnahom,P_PRCP,0.46
2021-11-09,jnahom,P_PRCP,0.47
